date,return
2020-01-01,0.00000000
2020-01-02,-0.00100000
2020-01-03,0.00801603
2020-01-04,0.00345168
2020-01-05,0.00391773
2020-01-06,0.00534500
2020-01-07,-0.00625000
2020-01-08,0.00194742
2020-01-09,-0.00678952
2020-01-10,-0.00639135
2020-01-11,0.00249004
2020-01-12,0.00346878
2020-01-13,0.00442913
2020-01-14,0.02341463
2020-01-15,0.02050326
2020-01-16,0.00358102
2020-01-17,0.00000000
2020-01-18,0.00044444
2020-01-19,-0.00266430
2020-01-20,0.01116071
2020-01-21,-0.00873362
2020-01-22,-0.00177778
2020-01-23,0.00535236
2020-01-24,-0.00617829
2020-01-25,0.00312779
2020-01-26,-0.00133215
2020-01-27,-0.00089047
2020-01-28,-0.00802855
2020-01-29,0.00453309
2020-01-30,-0.00359389
2020-01-31,0.00271493
2020-02-01,-0.00270027
2020-02-02,0.01312217
2020-02-03,0.00132275
2020-02-04,0.01099384
2020-02-05,0.00559380
2020-02-06,-0.01319149
2020-02-07,-0.01529720
2020-02-08,0.02164112
2020-02-09,-0.00302506
2020-02-10,-0.02521739
2020-02-11,-0.00412088
2020-02-12,0.00369344
2020-02-13,0.01558203
2020-02-14,-0.01511111
2020-02-15,-0.00504125
2020-02-16,-0.00694444
2020-02-17,0.00375587
2020-02-18,0.00046598
2020-02-19,0.00372439
2020-02-20,0.00323475
2020-02-21,-0.00137741
2020-02-22,-0.00552486
2020-02-23,-0.00093110
2020-02-24,0.00046642
2020-02-25,0.00465983
2020-02-26,-0.00230840
2020-02-27,-0.00556586
2020-02-28,-0.00750469
2020-02-29,-0.00571429
2020-03-01,0.00626204
2020-03-02,0.00475737
2020-03-03,-0.00047125
2020-03-04,-0.00707547
2020-03-05,0.00095694
2020-03-06,0.00429799
2020-03-07,0.00236742
2020-03-08,-0.00612630
2020-03-09,0.01335878
2020-03-10,0.00418216
2020-03-11,0.00092166
2020-03-12,0.02207912
2020-03-13,-0.01321586
2020-03-14,0.00950226
2020-03-15,0.00577265
2020-03-16,0.00307287
2020-03-17,-0.01221640
2020-03-18,0.00134168
2020-03-19,-0.00981267
2020-03-20,-0.00272975
2020-03-21,-0.00411711
2020-03-22,0.00691882
2020-03-23,-0.00955414
2020-03-24,-0.01252319
2020-03-25,0.00761180
2020-03-26,0.00234302
2020-03-27,0.01026119
2020-03-28,-0.00319927
2020-03-29,0.00091996
2020-03-30,-0.00459137
2020-03-31,0.00509731
2020-04-01,-0.00229358
2020-04-02,-0.00184332
2020-04-03,-0.00462535
2020-04-04,0.00280112
2020-04-05,0.00696379
2020-04-06,-0.00366300
2020-04-07,-0.00553506
2020-04-08,0.00326493
2020-04-09,0.00602410
2020-04-10,0.00183150
2020-04-11,-0.00182482
2020-04-12,-0.00274725
2020-04-13,-0.00184162
2020-04-14,-0.00323475
2020-04-15,0.00418605
2020-04-16,-0.00830258
2020-04-17,0.00093809
2020-04-18,-0.00983146
2020-04-19,0.01050621
2020-04-20,0.00327409
2020-04-21,0.00325279
2020-04-22,-0.00230840
2020-04-23,0.00278293
2020-04-24,0.00184502
2020-04-25,0.00367647
2020-04-26,0.01094891
2020-04-27,0.00267857
2020-04-28,0.00222025
2020-04-29,-0.01370469
2020-04-30,-0.00272727
2020-05-01,0.00228519
2020-05-02,-0.00136488
2020-05-03,-0.00045620
2020-05-04,0.00045662
2020-05-05,0.00091241
2020-05-06,0.00318761
2020-05-07,-0.00542986
2020-05-08,-0.00137237
2020-05-09,-0.00504587
2020-05-10,0.04911956
2020-05-11,-0.00379747
2020-05-12,0.01488095
2020-05-13,-0.00825764
2020-05-14,-0.00377834
2020-05-15,0.00423012
2020-05-16,-0.00461409
2020-05-17,-0.00296359
2020-05-18,-0.00425894
2020-05-19,0.00042955
2020-05-20,0.01931330
2020-05-21,0.00661157
2020-05-22,0.00693312
2020-05-23,-0.00522928
2020-05-24,-0.00081301
2020-05-25,0.01872964
2020-05-26,0.00392465
2020-05-27,-0.00467290
2020-05-28,0.00157233
2020-05-29,0.00195925
2020-05-30,-0.00312256
